ft,zt,wo_len,ft2,zpt
1.221077,1.227557,0.098973,1.221077,1.224016
1.219360,1.227743,0.099015,1.219360,1.221025
1.217492,1.225126,0.099015,1.217492,1.219110
1.215478,1.225232,0.099152,1.215478,1.217595
1.213318,1.222171,0.099152,1.213318,1.216305
1.211017,1.222125,0.099396,1.211017,1.214574
1.208575,1.216040,0.099396,1.208575,1.205991
1.205997,1.214208,0.099588,1.205997,1.199083
1.203284,1.210443,0.099588,1.203284,1.195238
1.200439,1.208499,0.099782,1.200439,1.191679
1.197465,1.204356,0.099782,1.197465,1.187241
1.194364,1.202596,0.099994,1.194364,1.183700
1.191140,1.198624,0.099994,1.191140,1.179847
1.187794,1.196786,0.100241,1.187794,1.175646
1.184330,1.192563,0.100241,1.184330,1.174380
1.180751,1.190374,0.100517,1.180751,1.171467
1.177058,1.186530,0.100517,1.177058,1.168386
1.173256,1.185517,0.100870,1.173256,1.165320
1.169347,1.181051,0.100870,1.169347,1.164311
1.165334,1.180030,0.101313,1.165334,1.161934
1.161219,1.174667,0.101313,1.161219,1.160611
1.157006,1.173075,0.101843,1.157006,1.156727
1.152698,1.167324,0.101843,1.152698,1.155019
1.148297,1.165598,0.102483,1.148297,1.151904
1.143806,1.158875,0.102483,1.143806,1.146063
1.139230,1.156870,0.103210,1.139230,1.143994
1.134569,1.149759,0.103210,1.134569,1.141348
1.129828,1.145059,0.103877,1.129828,1.132369
1.125009,1.136799,0.103877,1.125009,1.124823
1.120116,1.132169,0.104405,1.120116,1.118379
1.115151,1.124488,0.104405,1.115151,1.112095
1.110118,1.118972,0.104789,1.110118,1.108708
1.105019,1.112601,0.104789,1.105019,1.103498
1.099857,1.107694,0.105119,1.099857,1.096629
1.094636,1.101024,0.105119,1.094636,1.091382
1.089359,1.097229,0.105445,1.089359,1.085224
1.084028,1.091473,0.105445,1.084028,1.082570
1.078646,1.089407,0.105932,1.078646,1.079326
1.073217,1.084843,0.105932,1.073217,1.079477
1.067744,1.083674,0.106708,1.067744,1.075748
1.062229,1.077151,0.106708,1.062229,1.076296
1.056676,1.076235,0.107709,1.056676,1.074014
1.051087,1.066243,0.107709,1.051087,1.065076
1.045465,1.062060,0.108572,1.045465,1.058902
1.039814,1.052702,0.108572,1.039814,1.051916
1.034136,1.048568,0.109307,1.034136,1.048184
1.028435,1.039286,0.109307,1.028435,1.040823
1.022713,1.035523,0.109922,1.022713,1.035725
1.016973,1.027358,0.109922,1.016973,1.031947
1.011218,1.023426,0.110464,1.011218,1.026604
1.005450,1.015137,0.110464,1.005450,1.020079
0.999674,1.011278,0.110939,0.999674,1.015098
0.993891,1.004775,0.110939,0.993891,1.009545
0.988104,1.002191,0.111492,0.988104,1.004636
0.982316,0.995936,0.111492,0.982316,1.001873
0.976530,0.990908,0.112035,0.976530,0.990090
0.970748,0.981837,0.112035,0.970748,0.980191
0.964974,0.977335,0.112489,0.964974,0.973341
0.959210,0.969260,0.112489,0.959210,0.964351
0.953458,0.964566,0.112891,0.953458,0.958105
0.947721,0.956713,0.112891,0.947721,0.950982
0.942002,0.951592,0.113236,0.942002,0.941493
0.936303,0.944613,0.113236,0.936303,0.937448
0.930627,0.939733,0.113555,0.930627,0.930345
0.924977,0.932489,0.113555,0.924977,0.925488
0.919354,0.928903,0.113880,0.919354,0.921053
0.913761,0.923512,0.113880,0.913761,0.917812
0.908200,0.921987,0.114319,0.908200,0.913004
0.902675,0.915202,0.114319,0.902675,0.910455
0.897186,0.909617,0.114730,0.897186,0.901746
0.891737,0.899475,0.114730,0.891737,0.892477
0.886329,0.893729,0.114959,0.886329,0.885933
0.880966,0.885313,0.114959,0.880966,0.880754
0.875648,0.878543,0.115036,0.875648,0.872839
0.870378,0.872163,0.115036,0.870378,0.866516
0.865158,0.866499,0.115063,0.865158,0.860037
0.859991,0.859649,0.115063,0.859991,0.858012
0.854877,0.853162,0.115041,0.854877,0.854265
0.849819,0.847831,0.115041,0.849819,0.850339
0.844819,0.843209,0.115028,0.844819,0.845391
0.839879,0.839649,0.115028,0.839879,0.843895
0.835000,0.835879,0.115033,0.835000,0.840590
0.830185,0.832386,0.115033,0.830185,0.836877
0.825434,0.828448,0.115050,0.825434,0.836399
0.820750,0.824143,0.115050,0.820750,0.834305
0.816133,0.817590,0.115055,0.816133,0.824501
0.811587,0.810911,0.115055,0.811587,0.815398
0.807111,0.805059,0.115051,0.807111,0.808471
0.802708,0.801395,0.115051,0.802708,0.798532
0.798379,0.795872,0.115054,0.798379,0.792093
0.794125,0.792066,0.115054,0.794125,0.785068
0.789947,0.788022,0.115060,0.789947,0.778254
0.785848,0.784429,0.115060,0.785848,0.774558
0.781827,0.780190,0.115067,0.781827,0.769318
0.777886,0.777113,0.115067,0.777886,0.766136
0.774026,0.774719,0.115064,0.774026,0.762330
0.770248,0.772302,0.115064,0.770248,0.759825
0.766554,0.769985,0.115059,0.766554,0.756564
0.762943,0.766879,0.115059,0.762943,0.754845
0.759417,0.765295,0.115071,0.759417,0.753093
0.755977,0.762040,0.115071,0.755977,0.752570
0.752623,0.760187,0.115118,0.752623,0.751247
0.749356,0.757524,0.115118,0.749356,0.750664
0.746177,0.756402,0.115228,0.746177,0.750540
0.743086,0.752586,0.115228,0.743086,0.751874
0.740084,0.746320,0.115313,0.740084,0.743808
0.737170,0.739143,0.115313,0.737170,0.741148
0.734347,0.733653,0.115305,0.734347,0.735141
0.731613,0.728893,0.115305,0.731613,0.729299
0.728970,0.722761,0.115266,0.728970,0.724058
0.726417,0.719414,0.115266,0.726417,0.722342
0.723955,0.714190,0.115281,0.723955,0.722182
0.721584,0.711161,0.115281,0.721584,0.719163
0.719304,0.705816,0.115426,0.719304,0.718169
0.717115,0.705249,0.115426,0.717115,0.713815
0.715016,0.701768,0.115655,0.715016,0.711909
0.713008,0.702213,0.115655,0.713008,0.711721
0.711092,0.699627,0.115888,0.711092,0.709848
0.709265,0.700313,0.115888,0.709265,0.707571
0.707529,0.698248,0.116096,0.707529,0.706117
0.705883,0.698159,0.116096,0.705883,0.704526
0.704326,0.696440,0.116277,0.704326,0.702400
0.702858,0.696589,0.116277,0.702858,0.700078
0.701480,0.695083,0.116417,0.701480,0.700468
0.700189,0.695588,0.116417,0.700189,0.699668
0.698986,0.694195,0.116511,0.698986,0.699635
0.697870,0.694252,0.116511,0.697870,0.699117
0.696841,0.692804,0.116581,0.696841,0.697001
0.695897,0.693036,0.116581,0.695897,0.696037
0.695039,0.692145,0.116624,0.695039,0.694900
0.694264,0.692152,0.116624,0.694264,0.692640
0.693573,0.691244,0.116654,0.693573,0.690976
0.692964,0.690905,0.116654,0.692964,0.687303
0.692436,0.690065,0.116679,0.692436,0.685537
0.691989,0.689869,0.116679,0.691989,0.683278
0.691621,0.688958,0.116705,0.691621,0.683980
0.691332,0.688868,0.116705,0.691332,0.683573
0.691120,0.688219,0.116729,0.691120,0.684742
0.690983,0.688146,0.116729,0.690983,0.685325
0.690922,0.687384,0.116757,0.690922,0.685660
0.690934,0.687883,0.116757,0.690934,0.685524
0.691018,0.687107,0.116788,0.691018,0.686635
0.691174,0.687321,0.116788,0.691174,0.686264
0.691398,0.686453,0.116830,0.691398,0.687477
0.691691,0.686698,0.116830,0.691691,0.687106
0.692051,0.685844,0.116889,0.692051,0.687759
0.692475,0.686268,0.116889,0.692475,0.687235
0.692963,0.685457,0.116976,0.692963,0.688073
0.693513,0.685882,0.116976,0.693513,0.687223
0.694124,0.684946,0.117099,0.694124,0.687341
0.694793,0.685548,0.117099,0.694793,0.686714
0.695520,0.684884,0.117268,0.695520,0.688074
0.696302,0.686211,0.117268,0.696302,0.687986
0.697138,0.685485,0.117486,0.697138,0.689063
0.698025,0.687324,0.117486,0.698025,0.690266
0.698963,0.686724,0.117741,0.698963,0.692979
0.699949,0.688537,0.117741,0.699949,0.694859
0.700981,0.688328,0.118033,0.700981,0.696711
0.702058,0.690033,0.118033,0.702058,0.698306
0.703178,0.690018,0.118361,0.703178,0.701256
0.704339,0.691990,0.118361,0.704339,0.703296
0.705538,0.691936,0.118729,0.705538,0.706617
0.706774,0.694051,0.118729,0.706774,0.707360
0.708045,0.694314,0.119132,0.708045,0.707826
0.709349,0.696613,0.119132,0.709349,0.708527
0.710684,0.696763,0.119570,0.710684,0.709681
0.712047,0.699028,0.119570,0.712047,0.709952
0.713437,0.699256,0.120041,0.713437,0.712536
0.714852,0.701281,0.120041,0.714852,0.713316
0.716290,0.701384,0.120557,0.716290,0.714710
0.717748,0.703451,0.120557,0.717748,0.715486
0.719224,0.703537,0.121124,0.719224,0.718192
0.720716,0.705361,0.121124,0.720716,0.720476
0.722222,0.705484,0.121752,0.722222,0.721721
0.723740,0.707508,0.121752,0.723740,0.722755
0.725268,0.707485,0.122438,0.725268,0.724571
0.726804,0.709122,0.122438,0.726804,0.726427
0.728345,0.708996,0.123200,0.728345,0.727916
0.729889,0.710558,0.123200,0.729889,0.729768
0.731434,0.710389,0.124036,0.731434,0.731301
0.732978,0.712142,0.124036,0.732978,0.731585
0.734518,0.711818,0.124954,0.734518,0.732113
0.736053,0.713653,0.124954,0.736053,0.731954
0.737581,0.713490,0.125959,0.737581,0.731564
0.739098,0.715429,0.125959,0.739098,0.732088
0.740603,0.715335,0.127080,0.740603,0.732564
0.742094,0.717603,0.127080,0.742094,0.734172
0.743569,0.722240,0.128002,0.743569,0.742958
0.745025,0.726789,0.128002,0.745025,0.748037
0.746460,0.728237,0.128793,0.746460,0.751922
0.747873,0.732883,0.128793,0.747873,0.756642
0.749260,0.735326,0.129405,0.749260,0.760380
0.750620,0.739409,0.129405,0.750620,0.762143
0.751951,0.742452,0.129810,0.751951,0.766889
0.753250,0.746581,0.129810,0.753250,0.771421
0.754516,0.749629,0.130004,0.754516,0.775740
0.755747,0.752775,0.130004,0.755747,0.777697
0.756939,0.754127,0.130101,0.756939,0.778644
0.758092,0.755841,0.130101,0.758092,0.781911
0.759204,0.756818,0.130173,0.759204,0.783209
0.760272,0.758069,0.130173,0.760272,0.784381
0.761294,0.758627,0.130243,0.761294,0.785987
0.762268,0.759486,0.130243,0.762268,0.788143
0.763193,0.759828,0.130322,0.763193,0.789579
0.764066,0.760463,0.130322,0.764066,0.790881
0.764886,0.760569,0.130413,0.764886,0.792015
0.765651,0.761412,0.130413,0.765651,0.791434
0.766358,0.761436,0.130511,0.766358,0.789819
0.767007,0.762371,0.130511,0.767007,0.789279
0.767595,0.762802,0.130603,0.767595,0.789078
0.768120,0.763570,0.130603,0.768120,0.788748
0.768581,0.763836,0.130691,0.768581,0.786940
0.768976,0.764539,0.130691,0.768976,0.786261
0.769304,0.764627,0.130775,0.769304,0.784994
0.769562,0.765364,0.130775,0.769562,0.783395
0.769749,0.765370,0.130850,0.769749,0.782999
0.769864,0.766253,0.130850,0.769864,0.782726
0.769905,0.766422,0.130909,0.769905,0.781749
0.769871,0.766971,0.130909,0.769871,0.781132
0.769760,0.767197,0.130949,0.769760,0.780462
0.769570,0.767566,0.130949,0.769570,0.781147
0.769300,0.767720,0.130971,0.769300,0.780976
0.768950,0.768139,0.130971,0.768950,0.781562
0.768517,0.768203,0.130975,0.768517,0.782151
0.768000,0.768362,0.130975,0.768000,0.782196
0.767398,0.768453,0.130964,0.767398,0.781994
0.766710,0.768398,0.130964,0.766710,0.781829
0.765935,0.768568,0.130938,0.765935,0.782127
0.765071,0.768388,0.130938,0.765071,0.782519
0.764118,0.768298,0.130905,0.764118,0.782271
0.763074,0.768014,0.130905,0.763074,0.782756
0.761938,0.767979,0.130866,0.761938,0.783177
0.760711,0.767464,0.130866,0.760711,0.783604
0.759389,0.767330,0.130832,0.759389,0.783644
0.757974,0.766669,0.130832,0.757974,0.784292
0.756463,0.766643,0.130808,0.756463,0.782733
0.754857,0.765806,0.130808,0.754857,0.783835
0.753154,0.765678,0.130810,0.753154,0.784447
0.751354,0.764706,0.130810,0.751354,0.784820
0.749457,0.764743,0.130847,0.749457,0.785172
0.747460,0.763685,0.130847,0.747460,0.784850
0.745365,0.763875,0.130939,0.745365,0.785562
0.743171,0.762735,0.130939,0.743171,0.786123
0.740876,0.757803,0.131004,0.740876,0.777205
0.738482,0.754605,0.131004,0.738482,0.772596
0.735987,0.753079,0.131090,0.735987,0.768568
0.733391,0.750336,0.131090,0.733391,0.765405
0.730693,0.748120,0.131243,0.730693,0.761922
0.727895,0.744425,0.131243,0.727895,0.757799
0.724995,0.742454,0.131499,0.724995,0.754061
0.721994,0.737646,0.131499,0.721994,0.750444
0.718891,0.735437,0.131873,0.718891,0.746864
0.715686,0.731069,0.131873,0.715686,0.742819
0.712381,0.729795,0.132405,0.712381,0.740316
0.708973,0.726455,0.132405,0.708973,0.737486
0.705465,0.725436,0.133132,0.705465,0.733985
0.701855,0.721279,0.133132,0.701855,0.731844
0.698144,0.720672,0.134084,0.698144,0.728609
0.694333,0.717176,0.134084,0.694333,0.727246
0.690422,0.716558,0.135329,0.690422,0.726352
0.686411,0.712264,0.135329,0.686411,0.725682
0.682301,0.711954,0.136904,0.682301,0.726169
0.678092,0.707048,0.136904,0.678092,0.725529
0.673785,0.706882,0.138812,0.673785,0.726175
0.669380,0.701952,0.138812,0.669380,0.726210
0.664878,0.701814,0.141092,0.664878,0.726719
0.660280,0.692441,0.141092,0.660280,0.717724
