train_corrcoef,test_corrcoef, train_rmse, test_rmse
0.9968642401604758,0.9973289103753642, 0.06189484327623581, 0.057148477383125396
0.9967925341711524,0.9967547224419975, 0.0627389430081811, 0.06316797343297638
0.9966015531816125,0.9966088121806248, 0.06436633600216028, 0.06428593301871413
0.9972869645371182,0.9966452584953944, 0.05756190902295896, 0.06388741489903002
0.9972306336395312,0.9965881756724477, 0.05809100374740476, 0.0645902585184067
0.9968187425236937,0.9965371305580576, 0.062390842007147174, 0.06499620845482441
0.9964642104977036,0.9964333629139592, 0.06563641899742867, 0.06733951364274189
0.9971204257696051,0.9960245530446489, 0.05925570550693318, 0.06967320372636956
0.9965146732410696,0.9961530243609312, 0.06513896789381299, 0.06838811901847273
0.996814334082459,0.9965424410648479, 0.06234282933306292, 0.06478535532970245
